ACCOUNT_HEADER_COUNT,ACCOUNT_LINE_COUNT,ACCOUNT_COUNT,ACCOUNT_ID
4,4,4,1010101998
4,3,5,1010102000
216,37,400,1010201000
667,90,2820,1010401000
119,19,204,1011001000
1,5,5,1012001001
19,40,141,1013101000
155,13,241,1080101000
655,892,7240,1080201000
79,58,241,1080201002
66,19,142,1080201003
7,10,18,1080201004
61,8,74,1080201006
32,40,107,1080201016
2,2,2,1080201017
1,1,1,1080201043
1,1,1,1080202000
12,2,12,1080204000
2,1,2,1080205000
4,1,4,1080206000
2,1,2,1080801000
29,37,90,1081001000
46,57,158,1081002000
2,1,2,1090101000
22,7,22,1090102000
1,1,1,1090103000
7,5,7,1090107000
2,1,2,1090176000
10,1,10,1100201000
1181,1882,6829,1100301001
3,2,3,1100301003
1,1,1,1100301004
50,12,82,1100301005
6,2,6,1100301006
19,34,136,1100301007
4,3,4,1100301008
85,38,233,1100301011
54,23,104,1100301018
5,4,6,1100301110
6,42,46,1100301200
54,43,90,1100301401
29,8,31,1100301402
55,13,65,1100301403
220,117,530,1100301404
20,9,24,1100301405
150,32,262,1100301411
242,52,519,1100301412
17,4,17,1100401000
7,5,10,1100401023
102,47,278,1100501001
30,17,64,1100501004
9,5,9,1100501009
6,28,34,1100501010
3,2,3,1100501021
3,2,3,1100501022
795,404,11213,1100501999
2,1,2,1100502000
5,6,7,1100503000
9,1,9,1100503010
92,17,217,1129001000
46,32,184,1129002000
4,5,7,1129003000
1,1,1,1129003001
424,278,2322,1129101000
221,61,629,1129102000
1,1,1,1129102001
382,280,2677,1129103000
2,2,2,1129103001
369,82,1301,1129104000
83,6,103,1129104001
37,18,131,1130101070
9,7,11,1130101080
69,242,807,1130101090
169,62,705,1130101110
86,15,145,1130101120
85,16,134,1130101130
204,36,363,1130101210
288,51,1048,1130102000
162,614,3245,1130102001
43,5,67,1130102005
7,2,8,1130102006
22,9,46,1130102007
1,1,1,1130102070
71,10,159,1130102100
2,1,2,1130102200
1,2,2,1130104010
